temp_1 [°C];temp_2 [°C];temp_3 [°C];pres_1 [RAW];pres_2 [RAW];sensor_time [ms];motor_pos [0.1 deg];motor_psu [V];motor_torque [mN];motor_position [inc];motor_position_demand [inc];motor_current [mA];motor_current_demand [mA];motor_velocity [inc/s];motor_time [ms]
25.1;24.2;24.6;1698;1452;37519;0;16.3;0.0;-54;0;0;0;0;37488
25.1;24.3;24.7;1699;1452;37639;0;16.3;0.0;-54;0;0;0;0;37632
25.2;24.2;24.7;1697;1450;37719;0;16.3;0.0;-54;0;0;0;0;37689
25.1;24.3;24.7;1698;1449;37779;0;16.3;0.0;-54;0;0;0;0;37783
25.1;24.3;24.6;1696;1447;37919;0;16.3;0.0;-54;0;0;0;0;37883
25.2;24.3;24.7;1698;1449;37999;0;16.3;0.0;-54;0;0;0;0;37984
25.1;24.2;24.7;1698;1450;38059;0;16.3;0.0;-54;0;0;0;0;38035
25.2;24.3;24.7;1697;1450;38179;0;16.3;0.0;-54;0;0;0;0;38134
25.1;24.3;24.7;1698;1449;38259;0;16.3;0.0;-54;0;0;0;0;38232
25.1;24.3;24.7;1699;1452;38319;0;16.3;0.0;-54;0;0;0;0;38286
25.2;24.3;24.7;1699;1452;38439;0;16.3;0.0;-54;0;0;0;0;38432
25.1;24.3;24.7;1698;1451;38519;0;16.3;0.0;-54;0;0;0;0;38485
25.1;24.2;24.7;1699;1450;38579;0;16.3;0.0;-54;0;0;0;0;38534
25.1;24.4;24.7;1697;1447;38699;0;16.4;0.0;-54;0;0;0;0;38684
25.1;24.3;24.8;1698;1450;38779;0;16.3;0.0;-54;0;0;0;0;38735
25.2;24.3;24.7;1697;1449;38839;0;16.3;0.0;-54;0;0;0;0;38833
25.2;24.3;24.7;1698;1451;38959;0;16.4;0.0;-54;0;0;0;0;38932
25.1;24.3;24.7;1697;1448;39039;0;16.3;0.0;-54;0;0;0;0;39034
25.2;24.4;24.8;1696;1446;39099;0;16.3;0.0;-54;0;0;0;0;39083
25.1;24.4;24.8;1699;1454;39239;0;16.3;0.0;-54;0;0;0;0;39233
25.2;24.3;24.7;1698;1451;39319;0;16.3;0.0;-54;0;0;0;0;39284
25.2;24.3;24.7;1698;1451;39379;0;16.3;0.0;-54;0;0;0;0;39334
25.1;24.4;24.7;1698;1451;39499;0;16.4;0.0;-54;0;0;0;0;39482
25.1;24.3;24.7;1698;1450;39579;0;16.3;0.0;-54;0;0;0;0;39537
25.1;24.4;24.7;1698;1452;39639;0;16.3;0.0;-54;0;0;0;0;39633
25.1;24.3;24.7;1699;1452;39779;0;16.3;0.0;-54;0;0;0;0;39732
25.2;24.3;24.8;1699;1452;39859;0;16.3;0.0;-54;0;0;0;0;39832
25.2;24.3;24.8;1700;1453;39919;0;16.4;0.0;-54;0;0;0;0;39885
25.2;24.3;24.7;1699;1452;40039;0;16.3;0.0;-54;0;0;0;0;40032
25.1;24.3;24.8;1701;1454;40139;0;16.3;0.0;-54;0;0;0;0;40083
25.3;24.5;24.8;1699;1451;40199;0;16.3;0.0;-54;0;0;0;0;40184
25.3;24.5;24.8;1698;1450;40299;0;16.3;0.0;-54;0;0;0;0;40283
25.2;24.3;24.8;1697;1447;40379;0;16.3;0.0;-54;0;0;0;0;40383
25.3;24.4;24.8;1700;1454;40459;0;16.3;0.0;-54;0;0;0;0;40432
25.2;24.3;24.7;1698;1449;40579;0;16.3;0.0;-54;0;0;0;0;40534
25.2;24.4;24.7;1698;1451;40659;0;16.3;0.0;-54;0;0;0;0;40633
25.1;24.3;24.8;1700;1454;40719;0;16.3;0.0;-54;0;0;0;0;40686
25.2;24.3;24.8;1700;1452;40879;0;16.3;0.0;-54;0;0;0;0;40832
25.1;24.3;24.7;1699;1451;40959;0;16.3;0.0;-54;0;0;0;0;40933
25.2;24.3;24.8;1699;1453;41019;0;16.3;0.0;-54;0;0;0;0;40985
25.2;24.3;24.7;1699;1450;41139;0;16.3;0.0;-54;0;0;0;0;41134
25.2;24.4;24.8;1698;1450;41219;0;16.3;0.0;-54;0;0;0;0;41183
25.2;24.3;24.8;1700;1454;41279;0;16.3;0.0;-54;0;0;0;0;41237
25.1;24.3;24.8;1698;1451;41419;0;16.3;0.0;-54;0;0;0;0;41384
25.2;24.4;24.8;1698;1450;41479;0;16.3;0.0;-54;0;0;0;0;41483
